Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 12:55:35,Cs,1.0000E+003,-,-,-,2.7599E-011,-,-,-,-,-,1.5939E+001,6.2738E-002,-8.6426E+001,
08/07/2021 12:55:36,Cs,1.0000E+003,-,-,-,2.7597E-011,-,-,-,-,-,1.5846E+001,6.3108E-002,-8.6389E+001,
08/07/2021 12:55:38,Cs,1.0000E+003,-,-,-,2.7682E-011,-,-,-,-,-,1.6172E+001,6.1834E-002,-8.6462E+001,
08/07/2021 12:55:39,Cs,1.0000E+003,-,-,-,2.7571E-011,-,-,-,-,-,1.6057E+001,6.2277E-002,-8.6436E+001,
08/07/2021 12:55:41,Cs,1.0000E+003,-,-,-,2.7649E-011,-,-,-,-,-,1.6196E+001,6.1744E-002,-8.6467E+001,
08/07/2021 12:55:42,Cs,1.0000E+003,-,-,-,2.7729E-011,-,-,-,-,-,1.6287E+001,6.1400E-002,-8.6427E+001,
08/07/2021 12:55:44,Cs,1.0000E+003,-,-,-,2.6893E-011,-,-,-,-,-,1.1031E+001,9.0651E-002,-8.4820E+001,
08/07/2021 12:55:45,Cs,1.0000E+003,-,-,-,2.4700E-011,-,-,-,-,-,1.1076E+001,9.0281E-002,-8.4841E+001,
08/07/2021 12:55:47,Cs,1.0000E+003,-,-,-,2.5158E-011,-,-,-,-,-,2.2911E+001,4.3647E-002,-8.7501E+001,
08/07/2021 12:55:48,Cs,1.0000E+003,-,-,-,2.6460E-011,-,-,-,-,-,1.1451E+001,8.7331E-002,-8.3784E+001,
