Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 15:27:30,Cs,1.0000E+003,-,-,-,-1.7726E-009,-,-,-,-,-,2.7464E-001,3.6411E+000,1.5357E+001,
08/07/2021 15:27:31,Cs,1.0000E+003,-,-,-,1.2029E-011,-,-,-,-,-,2.5667E+001,3.8960E-002,-8.7683E+001,
08/07/2021 15:27:33,Cs,1.0000E+003,-,-,-,1.2012E-011,-,-,-,-,-,2.5463E+001,3.9273E-002,-8.7751E+001,
08/07/2021 15:27:34,Cs,1.0000E+003,-,-,-,1.2054E-011,-,-,-,-,-,2.5060E+001,3.9904E-002,-8.7715E+001,
08/07/2021 15:27:36,Cs,1.0000E+003,-,-,-,1.2071E-011,-,-,-,-,-,2.5710E+001,3.8895E-002,-8.7773E+001,
08/07/2021 15:27:37,Cs,1.0000E+003,-,-,-,1.2034E-011,-,-,-,-,-,2.6649E+001,3.7526E-002,-8.7851E+001,
08/07/2021 15:27:39,Cs,1.0000E+003,-,-,-,1.2034E-011,-,-,-,-,-,2.7352E+001,3.6560E-002,-8.7906E+001,
08/07/2021 15:27:40,Cs,1.0000E+003,-,-,-,1.2028E-011,-,-,-,-,-,2.5177E+001,3.9719E-002,-8.7725E+001,
08/07/2021 15:27:42,Cs,1.0000E+003,-,-,-,1.1992E-011,-,-,-,-,-,2.6406E+001,3.7870E-002,-8.7831E+001,
08/07/2021 15:27:43,Cs,1.0000E+003,-,-,-,1.2034E-011,-,-,-,-,-,2.5020E+001,3.9968E-002,-8.7637E+001,
08/07/2021 15:27:45,Cs,1.0000E+003,-,-,-,1.2099E-011,-,-,-,-,-,2.5899E+001,3.8611E-002,-8.7789E+001,
08/07/2021 15:27:46,Cs,1.0000E+003,-,-,-,1.2061E-011,-,-,-,-,-,2.5667E+001,3.8960E-002,-8.7844E+001,
08/07/2021 15:27:48,Cs,1.0000E+003,-,-,-,1.2047E-011,-,-,-,-,-,2.6830E+001,3.7271E-002,-8.7866E+001,
08/07/2021 15:27:49,Cs,1.0000E+003,-,-,-,1.2043E-011,-,-,-,-,-,2.5058E+001,3.9907E-002,-8.7837E+001,
08/07/2021 15:27:51,Cs,1.0000E+003,-,-,-,1.2031E-011,-,-,-,-,-,2.5070E+001,3.9889E-002,-8.7716E+001,
08/07/2021 15:27:52,Cs,1.0000E+003,-,-,-,1.2073E-011,-,-,-,-,-,2.4531E+001,4.0765E-002,-8.7718E+001,
08/07/2021 15:27:54,Cs,1.0000E+003,-,-,-,1.2050E-011,-,-,-,-,-,2.6171E+001,3.8211E-002,-8.7812E+001,
08/07/2021 15:27:55,Cs,1.0000E+003,-,-,-,1.2059E-011,-,-,-,-,-,2.8005E+001,3.5709E-002,-8.7955E+001,
08/07/2021 15:27:57,Cs,1.0000E+003,-,-,-,1.2056E-011,-,-,-,-,-,2.5486E+001,3.9237E-002,-8.7753E+001,
08/07/2021 15:27:58,Cs,1.0000E+003,-,-,-,1.1997E-011,-,-,-,-,-,2.5306E+001,3.9516E-002,-8.7737E+001,
08/07/2021 15:28:00,Cs,1.0000E+003,-,-,-,1.2053E-011,-,-,-,-,-,2.5505E+001,3.9208E-002,-8.7755E+001,
08/07/2021 15:28:01,Cs,1.0000E+003,-,-,-,1.2012E-011,-,-,-,-,-,2.5687E+001,3.8930E-002,-8.7771E+001,
08/07/2021 15:28:03,Cs,1.0000E+003,-,-,-,1.2054E-011,-,-,-,-,-,2.5071E+001,3.9887E-002,-8.7716E+001,
08/07/2021 15:28:04,Cs,1.0000E+003,-,-,-,1.2044E-011,-,-,-,-,-,2.6560E+001,3.7651E-002,-8.7844E+001,
08/07/2021 15:28:06,Cs,1.0000E+003,-,-,-,1.2054E-011,-,-,-,-,-,2.4471E+001,4.0865E-002,-8.7660E+001,
08/07/2021 15:28:07,Cs,1.0000E+003,-,-,-,1.2087E-011,-,-,-,-,-,2.6178E+001,3.8200E-002,-8.7812E+001,
08/07/2021 15:28:09,Cs,1.0000E+003,-,-,-,1.2028E-011,-,-,-,-,-,2.5904E+001,3.8605E-002,-8.7789E+001,
08/07/2021 15:28:10,Cs,1.0000E+003,-,-,-,1.2004E-011,-,-,-,-,-,2.5144E+001,3.9771E-002,-8.7698E+001,
