Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 15:34:51,Cs,1.0000E+003,-,-,-,1.2087E-011,-,-,-,-,-,2.4080E+001,4.1528E-002,-8.7622E+001,
08/07/2021 15:34:52,Cs,1.0000E+003,-,-,-,1.2043E-011,-,-,-,-,-,2.6818E+001,3.7288E-002,-8.7740E+001,
08/07/2021 15:34:54,Cs,1.0000E+003,-,-,-,1.2035E-011,-,-,-,-,-,2.4174E+001,4.1368E-002,-8.7720E+001,
08/07/2021 15:34:55,Cs,1.0000E+003,-,-,-,1.2102E-011,-,-,-,-,-,2.5874E+001,3.8649E-002,-8.7787E+001,
08/07/2021 15:34:57,Cs,1.0000E+003,-,-,-,1.2037E-011,-,-,-,-,-,2.5264E+001,3.9582E-002,-8.7733E+001,
08/07/2021 15:34:58,Cs,1.0000E+003,-,-,-,1.2064E-011,-,-,-,-,-,2.4254E+001,4.1231E-002,-8.7752E+001,
08/07/2021 15:35:00,Cs,1.0000E+003,-,-,-,1.2067E-011,-,-,-,-,-,2.4398E+001,4.0987E-002,-8.7653E+001,
08/07/2021 15:35:01,Cs,1.0000E+003,-,-,-,1.2090E-011,-,-,-,-,-,2.5443E+001,3.9304E-002,-8.7749E+001,
08/07/2021 15:35:03,Cs,1.0000E+003,-,-,-,1.2055E-011,-,-,-,-,-,2.5500E+001,3.9216E-002,-8.7793E+001,
08/07/2021 15:35:04,Cs,1.0000E+003,-,-,-,1.2042E-011,-,-,-,-,-,2.4425E+001,4.0941E-002,-8.7656E+001,
08/07/2021 15:35:06,Cs,1.0000E+003,-,-,-,1.2033E-011,-,-,-,-,-,2.4968E+001,4.0051E-002,-8.7706E+001,
08/07/2021 15:35:07,Cs,1.0000E+003,-,-,-,1.2069E-011,-,-,-,-,-,2.5648E+001,3.8989E-002,-8.7586E+001,
08/07/2021 15:35:09,Cs,1.0000E+003,-,-,-,1.2071E-011,-,-,-,-,-,2.5199E+001,3.9685E-002,-8.7727E+001,
08/07/2021 15:35:10,Cs,1.0000E+003,-,-,-,1.2067E-011,-,-,-,-,-,2.6140E+001,3.8256E-002,-8.7633E+001,
08/07/2021 15:35:12,Cs,1.0000E+003,-,-,-,1.2090E-011,-,-,-,-,-,2.5507E+001,3.9205E-002,-8.7755E+001,
08/07/2021 15:35:13,Cs,1.0000E+003,-,-,-,1.2086E-011,-,-,-,-,-,2.5957E+001,3.8525E-002,-8.7794E+001,
08/07/2021 15:35:15,Cs,1.0000E+003,-,-,-,1.2091E-011,-,-,-,-,-,2.7807E+001,3.5962E-002,-8.7940E+001,
08/07/2021 15:35:16,Cs,1.0000E+003,-,-,-,1.2060E-011,-,-,-,-,-,2.4031E+001,4.1613E-002,-8.7879E+001,
08/07/2021 15:35:18,Cs,1.0000E+003,-,-,-,1.2038E-011,-,-,-,-,-,2.4025E+001,4.1623E-002,-8.7617E+001,
08/07/2021 15:35:19,Cs,1.0000E+003,-,-,-,1.2047E-011,-,-,-,-,-,2.5952E+001,3.8533E-002,-8.7619E+001,
08/07/2021 15:35:21,Cs,1.0000E+003,-,-,-,1.2076E-011,-,-,-,-,-,2.5110E+001,3.9824E-002,-8.7719E+001,
08/07/2021 15:35:22,Cs,1.0000E+003,-,-,-,1.2054E-011,-,-,-,-,-,2.6195E+001,3.8175E-002,-8.7814E+001,
08/07/2021 15:35:24,Cs,1.0000E+003,-,-,-,1.2026E-011,-,-,-,-,-,2.3581E+001,4.2407E-002,-8.7572E+001,
08/07/2021 15:35:25,Cs,1.0000E+003,-,-,-,1.2041E-011,-,-,-,-,-,2.4689E+001,4.0503E-002,-8.7691E+001,
08/07/2021 15:35:27,Cs,1.0000E+003,-,-,-,1.2019E-011,-,-,-,-,-,2.4747E+001,4.0409E-002,-8.7686E+001,
08/07/2021 15:35:28,Cs,1.0000E+003,-,-,-,1.2057E-011,-,-,-,-,-,2.3907E+001,4.1829E-002,-8.7762E+001,
08/07/2021 15:35:30,Cs,1.0000E+003,-,-,-,1.2026E-011,-,-,-,-,-,2.3672E+001,4.2245E-002,-8.7581E+001,
08/07/2021 15:35:31,Cs,1.0000E+003,-,-,-,1.2056E-011,-,-,-,-,-,2.3781E+001,4.2051E-002,-8.7592E+001,
08/07/2021 15:35:33,Cs,1.0000E+003,-,-,-,1.2069E-011,-,-,-,-,-,2.3583E+001,4.2404E-002,-8.7572E+001,
08/07/2021 15:35:34,Cs,1.0000E+003,-,-,-,1.2083E-011,-,-,-,-,-,2.5465E+001,3.9269E-002,-8.7751E+001,
08/07/2021 15:35:36,Cs,1.0000E+003,-,-,-,1.2018E-011,-,-,-,-,-,2.3477E+001,4.2595E-002,-8.7561E+001,
08/07/2021 15:35:37,Cs,1.0000E+003,-,-,-,1.2036E-011,-,-,-,-,-,2.3845E+001,4.1938E-002,-8.7599E+001,
