Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 16:19:17,Cs,1.0000E+003,-,-,-,2.4025E-011,-,-,-,-,-,1.5855E+001,6.3073E-002,-8.6391E+001,
08/07/2021 16:19:18,Cs,1.0000E+003,-,-,-,2.4037E-011,-,-,-,-,-,1.5684E+001,6.3761E-002,-8.6352E+001,
08/07/2021 16:19:20,Cs,1.0000E+003,-,-,-,2.4023E-011,-,-,-,-,-,1.5914E+001,6.2838E-002,-8.6404E+001,
08/07/2021 16:19:22,Cs,1.0000E+003,-,-,-,2.4034E-011,-,-,-,-,-,1.5592E+001,6.4136E-002,-8.6330E+001,
08/07/2021 16:19:23,Cs,1.0000E+003,-,-,-,2.4017E-011,-,-,-,-,-,1.6174E+001,6.1829E-002,-8.6462E+001,
08/07/2021 16:19:25,Cs,1.0000E+003,-,-,-,2.4010E-011,-,-,-,-,-,1.5702E+001,6.3685E-002,-8.6356E+001,
08/07/2021 16:19:26,Cs,1.0000E+003,-,-,-,2.4022E-011,-,-,-,-,-,1.5661E+001,6.3853E-002,-8.6394E+001,
08/07/2021 16:19:28,Cs,1.0000E+003,-,-,-,2.3976E-011,-,-,-,-,-,1.6013E+001,6.2449E-002,-8.6427E+001,
08/07/2021 16:19:29,Cs,1.0000E+003,-,-,-,2.4014E-011,-,-,-,-,-,1.5671E+001,6.3811E-002,-8.6349E+001,
08/07/2021 16:19:31,Cs,1.0000E+003,-,-,-,2.3929E-011,-,-,-,-,-,1.5626E+001,6.3994E-002,-8.6338E+001,
08/07/2021 16:19:32,Cs,1.0000E+003,-,-,-,2.3921E-011,-,-,-,-,-,1.5837E+001,6.3145E-002,-8.6387E+001,
08/07/2021 16:19:34,Cs,1.0000E+003,-,-,-,2.3971E-011,-,-,-,-,-,1.6166E+001,6.1860E-002,-8.6460E+001,
08/07/2021 16:19:35,Cs,1.0000E+003,-,-,-,2.3929E-011,-,-,-,-,-,1.5772E+001,6.3405E-002,-8.6372E+001,
08/07/2021 16:19:36,Cs,1.0000E+003,-,-,-,2.3999E-011,-,-,-,-,-,1.5783E+001,6.3360E-002,-8.6375E+001,
08/07/2021 16:19:38,Cs,1.0000E+003,-,-,-,2.3981E-011,-,-,-,-,-,1.5416E+001,6.4866E-002,-8.6412E+001,
08/07/2021 16:19:40,Cs,1.0000E+003,-,-,-,2.3968E-011,-,-,-,-,-,1.5880E+001,6.2972E-002,-8.6397E+001,
08/07/2021 16:19:41,Cs,1.0000E+003,-,-,-,2.3983E-011,-,-,-,-,-,1.6020E+001,6.2421E-002,-8.6428E+001,
08/07/2021 16:19:43,Cs,1.0000E+003,-,-,-,2.3988E-011,-,-,-,-,-,1.5638E+001,6.3945E-002,-8.6341E+001,
