Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 12:57:48,Cs,1.0000E+003,-,-,-,2.7650E-011,-,-,-,-,-,1.6646E+001,6.0075E-002,-8.6649E+001,
08/07/2021 12:57:50,Cs,1.0000E+003,-,-,-,2.7685E-011,-,-,-,-,-,1.6234E+001,6.1598E-002,-8.6475E+001,
08/07/2021 12:57:51,Cs,1.0000E+003,-,-,-,2.7639E-011,-,-,-,-,-,1.6506E+001,6.0583E-002,-8.6533E+001,
08/07/2021 12:57:53,Cs,1.0000E+003,-,-,-,2.7674E-011,-,-,-,-,-,1.6538E+001,6.0467E-002,-8.6540E+001,
08/07/2021 12:57:54,Cs,1.0000E+003,-,-,-,2.7647E-011,-,-,-,-,-,1.6058E+001,6.2275E-002,-8.6430E+001,
08/07/2021 12:57:56,Cs,1.0000E+003,-,-,-,2.7630E-011,-,-,-,-,-,1.6148E+001,6.1928E-002,-8.6456E+001,
08/07/2021 12:57:57,Cs,1.0000E+003,-,-,-,2.7618E-011,-,-,-,-,-,1.6182E+001,6.1798E-002,-8.6464E+001,
08/07/2021 12:57:59,Cs,1.0000E+003,-,-,-,2.6684E-011,-,-,-,-,-,1.1125E+001,8.9885E-002,-8.4409E+001,
08/07/2021 12:58:00,Cs,1.0000E+003,-,-,-,2.4724E-011,-,-,-,-,-,1.3448E+001,7.4358E-002,-8.5747E+001,
08/07/2021 12:58:02,Cs,1.0000E+003,-,-,-,2.7522E-011,-,-,-,-,-,1.6270E+001,6.1462E-002,-8.6483E+001,
08/07/2021 12:58:03,Cs,1.0000E+003,-,-,-,2.7644E-011,-,-,-,-,-,1.6184E+001,6.1790E-002,-8.6436E+001,
08/07/2021 12:58:05,Cs,1.0000E+003,-,-,-,2.7615E-011,-,-,-,-,-,1.6229E+001,6.1619E-002,-8.6474E+001,
08/07/2021 12:58:06,Cs,1.0000E+003,-,-,-,2.7673E-011,-,-,-,-,-,1.5961E+001,6.2654E-002,-8.6415E+001,
