Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 16:16:15,Cs,1.0000E+003,-,-,-,2.4008E-011,-,-,-,-,-,1.5699E+001,6.3699E-002,-8.6355E+001,
08/07/2021 16:16:17,Cs,1.0000E+003,-,-,-,2.3992E-011,-,-,-,-,-,1.5770E+001,6.3412E-002,-8.6391E+001,
08/07/2021 16:16:18,Cs,1.0000E+003,-,-,-,2.3992E-011,-,-,-,-,-,1.6018E+001,6.2429E-002,-8.6428E+001,
08/07/2021 16:16:20,Cs,1.0000E+003,-,-,-,2.4012E-011,-,-,-,-,-,1.5810E+001,6.3252E-002,-8.6381E+001,
08/07/2021 16:16:21,Cs,1.0000E+003,-,-,-,2.4044E-011,-,-,-,-,-,1.5669E+001,6.3821E-002,-8.6348E+001,
08/07/2021 16:16:23,Cs,1.0000E+003,-,-,-,2.3989E-011,-,-,-,-,-,1.6039E+001,6.2349E-002,-8.6432E+001,
08/07/2021 16:16:24,Cs,1.0000E+003,-,-,-,2.4000E-011,-,-,-,-,-,1.5516E+001,6.4449E-002,-8.6312E+001,
08/07/2021 16:16:26,Cs,1.0000E+003,-,-,-,2.4017E-011,-,-,-,-,-,1.5638E+001,6.3945E-002,-8.6341E+001,
08/07/2021 16:16:28,Cs,1.0000E+003,-,-,-,2.4000E-011,-,-,-,-,-,1.6021E+001,6.2416E-002,-8.6428E+001,
08/07/2021 16:16:29,Cs,1.0000E+003,-,-,-,2.4002E-011,-,-,-,-,-,1.5750E+001,6.3491E-002,-8.6367E+001,
08/07/2021 16:16:30,Cs,1.0000E+003,-,-,-,2.3988E-011,-,-,-,-,-,1.5950E+001,6.2695E-002,-8.6413E+001,
08/07/2021 16:16:32,Cs,1.0000E+003,-,-,-,2.4034E-011,-,-,-,-,-,1.5429E+001,6.4815E-002,-8.6449E+001,
08/07/2021 16:16:33,Cs,1.0000E+003,-,-,-,2.4000E-011,-,-,-,-,-,1.6140E+001,6.1958E-002,-8.6455E+001,
08/07/2021 16:16:35,Cs,1.0000E+003,-,-,-,2.4025E-011,-,-,-,-,-,1.5824E+001,6.3195E-002,-8.6384E+001,
08/07/2021 16:16:36,Cs,1.0000E+003,-,-,-,2.4033E-011,-,-,-,-,-,1.5778E+001,6.3378E-002,-8.6374E+001,
08/07/2021 16:16:38,Cs,1.0000E+003,-,-,-,2.4017E-011,-,-,-,-,-,1.5628E+001,6.3988E-002,-8.6339E+001,
08/07/2021 16:16:39,Cs,1.0000E+003,-,-,-,2.4003E-011,-,-,-,-,-,1.6310E+001,6.1311E-002,-8.6397E+001,
08/07/2021 16:16:41,Cs,1.0000E+003,-,-,-,2.4013E-011,-,-,-,-,-,1.5807E+001,6.3261E-002,-8.6380E+001,
08/07/2021 16:16:42,Cs,1.0000E+003,-,-,-,2.4011E-011,-,-,-,-,-,1.5813E+001,6.3238E-002,-8.6382E+001,
08/07/2021 16:16:44,Cs,1.0000E+003,-,-,-,2.4005E-011,-,-,-,-,-,1.5599E+001,6.4107E-002,-8.6332E+001,
08/07/2021 16:16:45,Cs,1.0000E+003,-,-,-,2.3997E-011,-,-,-,-,-,1.6077E+001,6.2200E-002,-8.6441E+001,
08/07/2021 16:16:47,Cs,1.0000E+003,-,-,-,2.4030E-011,-,-,-,-,-,1.5979E+001,6.2583E-002,-8.6419E+001,
08/07/2021 16:16:48,Cs,1.0000E+003,-,-,-,2.4015E-011,-,-,-,-,-,1.5824E+001,6.3195E-002,-8.6421E+001,
08/07/2021 16:16:50,Cs,1.0000E+003,-,-,-,2.3981E-011,-,-,-,-,-,1.5810E+001,6.3250E-002,-8.6381E+001,
