Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 16:20:41,Cs,1.0000E+003,-,-,-,2.3956E-011,-,-,-,-,-,1.6200E+001,6.1729E-002,-8.6468E+001,
08/07/2021 16:20:43,Cs,1.0000E+003,-,-,-,2.3968E-011,-,-,-,-,-,1.6109E+001,6.2075E-002,-8.6448E+001,
08/07/2021 16:20:44,Cs,1.0000E+003,-,-,-,2.3949E-011,-,-,-,-,-,1.6180E+001,6.1805E-002,-8.6463E+001,
08/07/2021 16:20:45,Cs,1.0000E+003,-,-,-,2.3939E-011,-,-,-,-,-,1.6065E+001,6.2249E-002,-8.6438E+001,
08/07/2021 16:20:47,Cs,1.0000E+003,-,-,-,2.3953E-011,-,-,-,-,-,1.5938E+001,6.2742E-002,-8.6410E+001,
08/07/2021 16:20:49,Cs,1.0000E+003,-,-,-,2.3962E-011,-,-,-,-,-,1.6411E+001,6.0935E-002,-8.6513E+001,
08/07/2021 16:20:50,Cs,1.0000E+003,-,-,-,2.3953E-011,-,-,-,-,-,1.6018E+001,6.2431E-002,-8.6428E+001,
08/07/2021 16:20:52,Cs,1.0000E+003,-,-,-,2.3941E-011,-,-,-,-,-,1.6006E+001,6.2476E-002,-8.6425E+001,
08/07/2021 16:20:53,Cs,1.0000E+003,-,-,-,2.4122E-011,-,-,-,-,-,1.4595E+001,6.8516E-002,-8.6080E+001,
08/07/2021 16:20:55,Cs,1.0000E+003,-,-,-,2.3882E-011,-,-,-,-,-,1.6267E+001,6.1475E-002,-8.6482E+001,
08/07/2021 16:20:56,Cs,1.0000E+003,-,-,-,2.3938E-011,-,-,-,-,-,1.6379E+001,6.1055E-002,-8.6506E+001,
08/07/2021 16:20:58,Cs,1.0000E+003,-,-,-,2.3922E-011,-,-,-,-,-,1.6119E+001,6.2040E-002,-8.6450E+001,
08/07/2021 16:20:59,Cs,1.0000E+003,-,-,-,2.3941E-011,-,-,-,-,-,1.6452E+001,6.0784E-002,-8.6522E+001,
08/07/2021 16:21:01,Cs,1.0000E+003,-,-,-,2.3967E-011,-,-,-,-,-,1.5907E+001,6.2866E-002,-8.6403E+001,
08/07/2021 16:21:02,Cs,1.0000E+003,-,-,-,2.3918E-011,-,-,-,-,-,1.6175E+001,6.1826E-002,-8.6471E+001,
08/07/2021 16:21:04,Cs,1.0000E+003,-,-,-,2.3979E-011,-,-,-,-,-,1.6051E+001,6.2302E-002,-8.6435E+001,
08/07/2021 16:21:05,Cs,1.0000E+003,-,-,-,2.3937E-011,-,-,-,-,-,1.6092E+001,6.2142E-002,-8.6444E+001,
08/07/2021 16:21:07,Cs,1.0000E+003,-,-,-,2.3934E-011,-,-,-,-,-,1.6455E+001,6.0770E-002,-8.6522E+001,
08/07/2021 16:21:08,Cs,1.0000E+003,-,-,-,2.3944E-011,-,-,-,-,-,1.6175E+001,6.1822E-002,-8.6462E+001,
08/07/2021 16:21:10,Cs,1.0000E+003,-,-,-,2.3959E-011,-,-,-,-,-,1.6014E+001,6.2445E-002,-8.6427E+001,
08/07/2021 16:21:11,Cs,1.0000E+003,-,-,-,2.3939E-011,-,-,-,-,-,1.5961E+001,6.2654E-002,-8.6535E+001,
08/07/2021 16:21:13,Cs,1.0000E+003,-,-,-,2.4021E-011,-,-,-,-,-,1.5790E+001,6.3332E-002,-8.6376E+001,
08/07/2021 16:21:14,Cs,1.0000E+003,-,-,-,2.4090E-011,-,-,-,-,-,1.4656E+001,6.8234E-002,-8.6097E+001,
08/07/2021 16:21:16,Cs,1.0000E+003,-,-,-,2.3822E-011,-,-,-,-,-,9.2039E+000,1.0865E-001,-8.3799E+001,
08/07/2021 16:21:17,Cs,1.0000E+003,-,-,-,2.3946E-011,-,-,-,-,-,1.6339E+001,6.1202E-002,-8.6498E+001,
08/07/2021 16:21:19,Cs,1.0000E+003,-,-,-,2.3942E-011,-,-,-,-,-,1.6283E+001,6.1414E-002,-8.6486E+001,
08/07/2021 16:21:20,Cs,1.0000E+003,-,-,-,2.3942E-011,-,-,-,-,-,1.5864E+001,6.3035E-002,-8.6527E+001,
08/07/2021 16:21:22,Cs,1.0000E+003,-,-,-,2.3944E-011,-,-,-,-,-,1.6342E+001,6.1192E-002,-8.6498E+001,
08/07/2021 16:21:23,Cs,1.0000E+003,-,-,-,2.3955E-011,-,-,-,-,-,1.6022E+001,6.2415E-002,-8.6429E+001,
08/07/2021 16:21:25,Cs,1.0000E+003,-,-,-,2.4086E-011,-,-,-,-,-,1.5820E+001,6.3212E-002,-8.6477E+001,
08/07/2021 16:21:26,Cs,1.0000E+003,-,-,-,2.4083E-011,-,-,-,-,-,1.4649E+001,6.8263E-002,-8.6095E+001,
08/07/2021 16:21:28,Cs,1.0000E+003,-,-,-,2.3981E-011,-,-,-,-,-,1.5890E+001,6.2935E-002,-8.6399E+001,
08/07/2021 16:21:29,Cs,1.0000E+003,-,-,-,2.3912E-011,-,-,-,-,-,1.5981E+001,6.2575E-002,-8.6419E+001,
08/07/2021 16:21:31,Cs,1.0000E+003,-,-,-,2.3959E-011,-,-,-,-,-,1.6001E+001,6.2497E-002,-8.6424E+001,
08/07/2021 16:21:32,Cs,1.0000E+003,-,-,-,2.3927E-011,-,-,-,-,-,1.6730E+001,5.9773E-002,-8.6579E+001,
08/07/2021 16:21:34,Cs,1.0000E+003,-,-,-,2.3966E-011,-,-,-,-,-,1.6213E+001,6.1677E-002,-8.6471E+001,
08/07/2021 16:21:36,Cs,1.0000E+003,-,-,-,2.3947E-011,-,-,-,-,-,1.6460E+001,6.0755E-002,-8.6523E+001,
08/07/2021 16:21:37,Cs,1.0000E+003,-,-,-,2.3944E-011,-,-,-,-,-,1.6069E+001,6.2230E-002,-8.6439E+001,
08/07/2021 16:21:39,Cs,1.0000E+003,-,-,-,2.3966E-011,-,-,-,-,-,1.6167E+001,6.1856E-002,-8.6460E+001,
08/07/2021 16:21:40,Cs,1.0000E+003,-,-,-,2.3944E-011,-,-,-,-,-,1.6117E+001,6.2047E-002,-8.6511E+001,
08/07/2021 16:21:42,Cs,1.0000E+003,-,-,-,2.4092E-011,-,-,-,-,-,1.4893E+001,6.7143E-002,-8.6369E+001,
08/07/2021 16:21:43,Cs,1.0000E+003,-,-,-,2.3931E-011,-,-,-,-,-,1.6393E+001,6.1001E-002,-8.6509E+001,
08/07/2021 16:21:45,Cs,1.0000E+003,-,-,-,2.3950E-011,-,-,-,-,-,1.6438E+001,6.0833E-002,-8.6519E+001,
08/07/2021 16:21:46,Cs,1.0000E+003,-,-,-,2.3942E-011,-,-,-,-,-,1.6287E+001,6.1398E-002,-8.6423E+001,
08/07/2021 16:21:48,Cs,1.0000E+003,-,-,-,2.3965E-011,-,-,-,-,-,1.6200E+001,6.1729E-002,-8.6468E+001,
08/07/2021 16:21:49,Cs,1.0000E+003,-,-,-,2.3955E-011,-,-,-,-,-,1.6143E+001,6.1948E-002,-8.6455E+001,
08/07/2021 16:21:51,Cs,1.0000E+003,-,-,-,2.3943E-011,-,-,-,-,-,1.6506E+001,6.0584E-002,-8.6533E+001,
08/07/2021 16:21:52,Cs,1.0000E+003,-,-,-,2.3950E-011,-,-,-,-,-,1.6258E+001,6.1510E-002,-8.6480E+001,
08/07/2021 16:21:54,Cs,1.0000E+003,-,-,-,2.3935E-011,-,-,-,-,-,1.6265E+001,6.1481E-002,-8.6482E+001,
08/07/2021 16:21:55,Cs,1.0000E+003,-,-,-,2.3956E-011,-,-,-,-,-,1.6776E+001,5.9607E-002,-8.6589E+001,
08/07/2021 16:21:57,Cs,1.0000E+003,-,-,-,2.3946E-011,-,-,-,-,-,1.6341E+001,6.1197E-002,-8.6498E+001,
08/07/2021 16:21:58,Cs,1.0000E+003,-,-,-,2.3938E-011,-,-,-,-,-,1.6443E+001,6.0815E-002,-8.6520E+001,
08/07/2021 16:22:00,Cs,1.0000E+003,-,-,-,2.3942E-011,-,-,-,-,-,1.6422E+001,6.0893E-002,-8.6515E+001,
08/07/2021 16:22:01,Cs,1.0000E+003,-,-,-,2.3954E-011,-,-,-,-,-,1.6431E+001,6.0860E-002,-8.6517E+001,
08/07/2021 16:22:03,Cs,1.0000E+003,-,-,-,2.4093E-011,-,-,-,-,-,1.5874E+001,6.2997E-002,-8.6395E+001,
08/07/2021 16:22:04,Cs,1.0000E+003,-,-,-,2.4082E-011,-,-,-,-,-,1.2584E+001,7.9469E-002,-8.5395E+001,
08/07/2021 16:22:06,Cs,1.0000E+003,-,-,-,2.3972E-011,-,-,-,-,-,1.6587E+001,6.0286E-002,-8.6550E+001,
08/07/2021 16:22:07,Cs,1.0000E+003,-,-,-,2.3941E-011,-,-,-,-,-,1.6155E+001,6.1899E-002,-8.6458E+001,
08/07/2021 16:22:09,Cs,1.0000E+003,-,-,-,2.3945E-011,-,-,-,-,-,1.6369E+001,6.1091E-002,-8.6504E+001,
08/07/2021 16:22:10,Cs,1.0000E+003,-,-,-,2.3961E-011,-,-,-,-,-,1.6104E+001,6.2095E-002,-8.6447E+001,
08/07/2021 16:22:11,Cs,1.0000E+003,-,-,-,2.3943E-011,-,-,-,-,-,1.6468E+001,6.0723E-002,-8.6525E+001,
08/07/2021 16:22:13,Cs,1.0000E+003,-,-,-,2.3951E-011,-,-,-,-,-,1.6105E+001,6.2091E-002,-8.6447E+001,
