Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 12:02:59,Cs,1.0000E+003,-,-,-,2.6968E-011,-,-,-,-,-,3.2158E+001,3.1097E-002,-8.8219E+001,
08/07/2021 12:03:01,Cs,1.0000E+003,-,-,-,2.7004E-011,-,-,-,-,-,3.2366E+001,3.0897E-002,-8.8230E+001,
08/07/2021 12:03:03,Cs,1.0000E+003,-,-,-,2.6926E-011,-,-,-,-,-,3.3826E+001,2.9563E-002,-8.8307E+001,
08/07/2021 12:03:04,Cs,1.0000E+003,-,-,-,2.6989E-011,-,-,-,-,-,3.2149E+001,3.1105E-002,-8.8218E+001,
08/07/2021 12:03:06,Cs,1.0000E+003,-,-,-,2.6992E-011,-,-,-,-,-,3.2316E+001,3.0945E-002,-8.8228E+001,
08/07/2021 12:03:07,Cs,1.0000E+003,-,-,-,2.6939E-011,-,-,-,-,-,3.2135E+001,3.1119E-002,-8.8218E+001,
08/07/2021 12:03:09,Cs,1.0000E+003,-,-,-,2.6967E-011,-,-,-,-,-,3.1356E+001,3.1892E-002,-8.8173E+001,
08/07/2021 12:03:10,Cs,1.0000E+003,-,-,-,2.6954E-011,-,-,-,-,-,3.3138E+001,3.0177E-002,-8.8272E+001,
08/07/2021 12:03:12,Cs,1.0000E+003,-,-,-,2.7020E-011,-,-,-,-,-,3.2372E+001,3.0891E-002,-8.8231E+001,
08/07/2021 12:03:13,Cs,1.0000E+003,-,-,-,2.7015E-011,-,-,-,-,-,2.9760E+001,3.3602E-002,-8.8075E+001,
08/07/2021 12:03:15,Cs,1.0000E+003,-,-,-,2.7029E-011,-,-,-,-,-,2.9342E+001,3.4081E-002,-8.8048E+001,
08/07/2021 12:03:16,Cs,1.0000E+003,-,-,-,2.6967E-011,-,-,-,-,-,3.0476E+001,3.2813E-002,-8.8121E+001,
08/07/2021 12:03:18,Cs,1.0000E+003,-,-,-,2.6951E-011,-,-,-,-,-,3.2215E+001,3.1042E-002,-8.8222E+001,
08/07/2021 12:03:19,Cs,1.0000E+003,-,-,-,2.7006E-011,-,-,-,-,-,3.2614E+001,3.0661E-002,-8.8200E+001,
08/07/2021 12:03:21,Cs,1.0000E+003,-,-,-,2.6986E-011,-,-,-,-,-,3.2085E+001,3.1167E-002,-8.8215E+001,
08/07/2021 12:03:22,Cs,1.0000E+003,-,-,-,2.6972E-011,-,-,-,-,-,3.0998E+001,3.2260E-002,-8.8152E+001,
08/07/2021 12:03:24,Cs,1.0000E+003,-,-,-,2.6940E-011,-,-,-,-,-,3.0085E+001,3.3239E-002,-8.8096E+001,
08/07/2021 12:03:25,Cs,1.0000E+003,-,-,-,2.6985E-011,-,-,-,-,-,3.2306E+001,3.0954E-002,-8.8227E+001,
08/07/2021 12:03:27,Cs,1.0000E+003,-,-,-,2.6994E-011,-,-,-,-,-,3.0915E+001,3.2347E-002,-8.8179E+001,
08/07/2021 12:03:28,Cs,1.0000E+003,-,-,-,2.6934E-011,-,-,-,-,-,3.1461E+001,3.1785E-002,-8.8179E+001,
08/07/2021 12:03:30,Cs,1.0000E+003,-,-,-,2.6984E-011,-,-,-,-,-,3.1705E+001,3.1541E-002,-8.8193E+001,
08/07/2021 12:03:31,Cs,1.0000E+003,-,-,-,2.6964E-011,-,-,-,-,-,3.1825E+001,3.1422E-002,-8.8200E+001,
08/07/2021 12:03:33,Cs,1.0000E+003,-,-,-,2.6958E-011,-,-,-,-,-,2.9945E+001,3.3395E-002,-8.8087E+001,
08/07/2021 12:03:34,Cs,1.0000E+003,-,-,-,2.6970E-011,-,-,-,-,-,3.2855E+001,3.0437E-002,-8.8159E+001,
08/07/2021 12:03:36,Cs,1.0000E+003,-,-,-,2.7014E-011,-,-,-,-,-,3.1554E+001,3.1692E-002,-8.8185E+001,
08/07/2021 12:03:37,Cs,1.0000E+003,-,-,-,2.6918E-011,-,-,-,-,-,3.2266E+001,3.0992E-002,-8.8225E+001,
08/07/2021 12:03:39,Cs,1.0000E+003,-,-,-,2.6923E-011,-,-,-,-,-,2.9948E+001,3.3391E-002,-8.8088E+001,
08/07/2021 12:03:41,Cs,1.0000E+003,-,-,-,2.6982E-011,-,-,-,-,-,3.1151E+001,3.2102E-002,-8.8161E+001,
08/07/2021 12:03:42,Cs,1.0000E+003,-,-,-,2.6929E-011,-,-,-,-,-,3.1352E+001,3.1896E-002,-8.8173E+001,
08/07/2021 12:03:44,Cs,1.0000E+003,-,-,-,2.7036E-011,-,-,-,-,-,3.2233E+001,3.1024E-002,-8.8089E+001,
08/07/2021 12:03:45,Cs,1.0000E+003,-,-,-,2.6986E-011,-,-,-,-,-,3.1502E+001,3.1744E-002,-8.8182E+001,
