Data Logging Table
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta
08/07/2021 15:33:06,Cs,1.0000E+003,-,-,-,1.2058E-011,-,-,-,-,-,2.6428E+001,3.7839E-002,-8.7833E+001,
08/07/2021 15:33:08,Cs,1.0000E+003,-,-,-,1.2047E-011,-,-,-,-,-,2.3579E+001,4.2410E-002,-8.7572E+001,
08/07/2021 15:33:09,Cs,1.0000E+003,-,-,-,1.2022E-011,-,-,-,-,-,2.5116E+001,3.9815E-002,-8.7655E+001,
08/07/2021 15:33:11,Cs,1.0000E+003,-,-,-,1.2057E-011,-,-,-,-,-,2.4442E+001,4.0912E-002,-8.7657E+001,
08/07/2021 15:33:12,Cs,1.0000E+003,-,-,-,1.2051E-011,-,-,-,-,-,2.4315E+001,4.1127E-002,-8.7645E+001,
08/07/2021 15:33:14,Cs,1.0000E+003,-,-,-,1.2038E-011,-,-,-,-,-,2.5076E+001,3.9879E-002,-8.7716E+001,
08/07/2021 15:33:15,Cs,1.0000E+003,-,-,-,1.2035E-011,-,-,-,-,-,2.3988E+001,4.1688E-002,-8.7613E+001,
08/07/2021 15:33:17,Cs,1.0000E+003,-,-,-,1.2069E-011,-,-,-,-,-,2.5027E+001,3.9957E-002,-8.7712E+001,
08/07/2021 15:33:18,Cs,1.0000E+003,-,-,-,1.2048E-011,-,-,-,-,-,2.4293E+001,4.1164E-002,-8.7797E+001,
08/07/2021 15:33:20,Cs,1.0000E+003,-,-,-,1.2012E-011,-,-,-,-,-,2.4949E+001,4.0081E-002,-8.7705E+001,
08/07/2021 15:33:21,Cs,1.0000E+003,-,-,-,1.2056E-011,-,-,-,-,-,2.4783E+001,4.0350E-002,-8.7689E+001,
08/07/2021 15:33:23,Cs,1.0000E+003,-,-,-,1.2072E-011,-,-,-,-,-,2.6496E+001,3.7742E-002,-8.7839E+001,
08/07/2021 15:33:24,Cs,1.0000E+003,-,-,-,1.2029E-011,-,-,-,-,-,2.7266E+001,3.6676E-002,-8.7900E+001,
08/07/2021 15:33:26,Cs,1.0000E+003,-,-,-,1.2069E-011,-,-,-,-,-,2.5004E+001,3.9994E-002,-8.7710E+001,
08/07/2021 15:33:27,Cs,1.0000E+003,-,-,-,1.2085E-011,-,-,-,-,-,2.4649E+001,4.0570E-002,-8.7677E+001,
08/07/2021 15:33:29,Cs,1.0000E+003,-,-,-,1.2014E-011,-,-,-,-,-,2.4314E+001,4.1129E-002,-8.7645E+001,
08/07/2021 15:33:30,Cs,1.0000E+003,-,-,-,1.2016E-011,-,-,-,-,-,2.4140E+001,4.1425E-002,-8.7628E+001,
08/07/2021 15:33:32,Cs,1.0000E+003,-,-,-,1.2071E-011,-,-,-,-,-,2.5974E+001,3.8500E-002,-8.7795E+001,
08/07/2021 15:33:33,Cs,1.0000E+003,-,-,-,1.2033E-011,-,-,-,-,-,2.8449E+001,3.5151E-002,-8.7987E+001,
08/07/2021 15:33:35,Cs,1.0000E+003,-,-,-,1.2055E-011,-,-,-,-,-,2.5470E+001,3.9262E-002,-8.7752E+001,
08/07/2021 15:33:36,Cs,1.0000E+003,-,-,-,1.2063E-011,-,-,-,-,-,2.5059E+001,3.9906E-002,-8.7715E+001,
08/07/2021 15:33:38,Cs,1.0000E+003,-,-,-,1.2042E-011,-,-,-,-,-,2.2847E+001,4.3770E-002,-8.7494E+001,
08/07/2021 15:33:39,Cs,1.0000E+003,-,-,-,1.2060E-011,-,-,-,-,-,2.4158E+001,4.1394E-002,-8.7630E+001,
08/07/2021 15:33:41,Cs,1.0000E+003,-,-,-,1.2057E-011,-,-,-,-,-,2.4610E+001,4.0634E-002,-8.7777E+001,
08/07/2021 15:33:42,Cs,1.0000E+003,-,-,-,1.2038E-011,-,-,-,-,-,2.4256E+001,4.1228E-002,-8.7639E+001,
08/07/2021 15:33:44,Cs,1.0000E+003,-,-,-,1.2082E-011,-,-,-,-,-,2.4121E+001,4.1457E-002,-8.7626E+001,
08/07/2021 15:33:45,Cs,1.0000E+003,-,-,-,1.2081E-011,-,-,-,-,-,2.5909E+001,3.8597E-002,-8.7790E+001,
08/07/2021 15:33:47,Cs,1.0000E+003,-,-,-,1.2030E-011,-,-,-,-,-,2.4715E+001,4.0461E-002,-8.7683E+001,
08/07/2021 15:33:48,Cs,1.0000E+003,-,-,-,1.2059E-011,-,-,-,-,-,2.4756E+001,4.0394E-002,-8.7775E+001,
08/07/2021 15:33:50,Cs,1.0000E+003,-,-,-,1.2029E-011,-,-,-,-,-,2.4655E+001,4.0560E-002,-8.7677E+001,
08/07/2021 15:33:51,Cs,1.0000E+003,-,-,-,1.2037E-011,-,-,-,-,-,2.4239E+001,4.1256E-002,-8.7638E+001,
08/07/2021 15:33:53,Cs,1.0000E+003,-,-,-,1.2087E-011,-,-,-,-,-,2.5394E+001,3.9380E-002,-8.7724E+001,
08/07/2021 15:33:54,Cs,1.0000E+003,-,-,-,1.2080E-011,-,-,-,-,-,2.3819E+001,4.1984E-002,-8.7596E+001,
08/07/2021 15:33:56,Cs,1.0000E+003,-,-,-,1.2057E-011,-,-,-,-,-,2.7406E+001,3.6489E-002,-8.7910E+001,
08/07/2021 15:33:57,Cs,1.0000E+003,-,-,-,1.2052E-011,-,-,-,-,-,2.6113E+001,3.8296E-002,-8.7807E+001,
08/07/2021 15:33:59,Cs,1.0000E+003,-,-,-,1.2034E-011,-,-,-,-,-,2.4156E+001,4.1398E-002,-8.7629E+001,
08/07/2021 15:34:00,Cs,1.0000E+003,-,-,-,1.2034E-011,-,-,-,-,-,2.3944E+001,4.1763E-002,-8.7609E+001,
